number,value,datetime_start,datetime_complete,duration,params_activation,params_chunk_seconds,params_dropout,params_encoder_dim,params_labels_per_batch,params_learning_rate,params_loss_name,params_loss_temperature,params_margin,params_n_mels,params_noise_probability,params_output_dim,params_rnnt_layers,params_rnnt_time_reduction_factor,params_samples_per_label,params_snr_db_max,params_snr_db_min,params_weight_decay,user_attrs_best_checkpoint_path,user_attrs_best_epoch,state
0,0.11380621045827866,2026-03-28 21:17:12.139969,2026-03-28 21:22:36.830145,0 days 00:05:24.690176,gelu,3.2,0.149976500165112,192,4,0.0009732259441745696,batch_all_triplet,,0.18193963611911804,64,0.47990166745555013,96,2,2,4,28.505738027428485,8.187300645390128,7.430387087024335e-05,/home/svane/projects/tempo/runs/rnnt_search_v3/optuna/trial_0000/checkpoints/best.ckpt,9.0,COMPLETE
1,0.24642740190029144,2026-03-28 21:22:36.830404,2026-03-28 21:25:42.057365,0 days 00:03:05.226961,relu,3.2,0.14056858650928009,192,4,0.0010673661296072598,batch_all_triplet,,0.37316554175016703,64,0.45535740750805126,128,3,4,2,25.340838354712762,9.675155149801702,0.006635494476750951,/home/svane/projects/tempo/runs/rnnt_search_v3/optuna/trial_0001/checkpoints/best.ckpt,10.0,COMPLETE
2,2.1044702529907227,2026-03-28 21:25:42.057757,2026-03-28 21:36:30.415622,0 days 00:10:48.357865,silu,4.0,0.07622212846958279,256,4,0.0015219648316975867,supervised_contrastive,0.18135075873051254,0.11626232377467433,64,0.866928160926338,96,3,2,3,27.448862778135027,11.098311614821878,0.005707493360222567,/home/svane/projects/tempo/runs/rnnt_search_v3/optuna/trial_0002/checkpoints/best.ckpt,7.0,COMPLETE
3,1.919689655303955,2026-03-28 21:36:30.415851,2026-03-28 21:38:04.255044,0 days 00:01:33.839193,silu,3.2,0.13554096660551013,256,3,0.00017799470999319358,supervised_contrastive,0.05505113067542723,0.4427902504447041,80,0.47948439329004916,160,5,4,3,26.048076226248085,5.792629095570555,0.001345614335689367,,,PRUNED
4,0.22714722156524658,2026-03-28 21:38:04.255325,2026-03-28 21:46:45.794179,0 days 00:08:41.538854,silu,3.2,0.19384642833846732,128,3,0.0001580435894509767,batch_all_triplet,,0.3361383417225341,80,0.7148319020611791,96,5,1,2,23.978748902192187,9.573567217515304,2.1155770341627222e-05,/home/svane/projects/tempo/runs/rnnt_search_v3/optuna/trial_0004/checkpoints/best.ckpt,2.0,COMPLETE
5,0.18350449204444885,2026-03-28 21:46:45.794402,2026-03-28 21:51:44.742656,0 days 00:04:58.948254,gelu,4.0,0.17192295966691185,128,4,0.000333930247830231,batch_hard_triplet,,0.18251434260026175,80,0.8422528357313744,160,3,2,2,20.695115065437975,5.281619284953356,3.262154558339635e-05,/home/svane/projects/tempo/runs/rnnt_search_v3/optuna/trial_0005/checkpoints/best.ckpt,8.0,COMPLETE
6,2.449321746826172,2026-03-28 21:51:44.742894,2026-03-28 21:54:20.477299,0 days 00:02:35.734405,relu,4.0,0.12650222778596676,256,5,0.001619517446216138,supervised_contrastive,0.07820448928738793,0.40443389768867444,80,0.7561823976453232,160,2,2,3,31.84088068386714,4.317028590935155,0.00035156802537704516,,,PRUNED
7,0.31701260805130005,2026-03-28 21:54:20.477589,2026-03-28 22:01:28.709498,0 days 00:07:08.231909,silu,4.0,0.21337879886848965,256,5,0.0006331881152637899,batch_all_triplet,,0.45814671381482486,64,0.7877524656692754,160,2,1,2,28.55674475776445,6.48395653196594,6.766989437610735e-05,,,PRUNED
8,0.48536136746406555,2026-03-28 22:01:28.709796,2026-03-28 22:04:09.732722,0 days 00:02:41.022926,gelu,4.0,0.24704393107590933,256,4,0.0014092681522921348,batch_hard_triplet,,0.4845574853751694,64,0.5788079495205121,96,3,2,2,20.30967401711903,11.196606230890598,3.463048114862307e-06,,,PRUNED
9,0.3114366829395294,2026-03-28 22:04:09.732973,2026-03-28 22:10:52.192199,0 days 00:06:42.459226,silu,3.2,0.0822400018433694,256,4,0.0003879572892764633,batch_all_triplet,,0.447623354522268,64,0.9350400625325315,160,2,1,3,26.531412974624736,10.584896893284334,0.0021772829748802555,,,PRUNED
10,0.12663587927818298,2026-03-28 22:10:52.192438,2026-03-29 00:20:14.343214,0 days 02:09:22.150776,mish,2.4,0.10407797703530364,192,5,0.002888105964849585,batch_all_triplet,,0.1943865791026289,64,0.5805760691269959,128,4,2,4,30.7628049865221,7.82438756698566,1.5544170345350077e-06,/home/svane/projects/tempo/runs/rnnt_search_v3/optuna/trial_0010/checkpoints/best.ckpt,7.0,COMPLETE
11,0.15053996443748474,2026-03-29 00:20:14.343444,2026-03-30 10:44:27.532346,1 days 10:24:13.188902,mish,2.4,0.10192711516411591,192,5,0.0029909792706926154,batch_all_triplet,,0.24209026649354762,64,0.5792191599276395,128,4,2,4,31.077362089324275,7.460405893942674,2.265077058939306e-06,/home/svane/projects/tempo/runs/rnnt_search_v3/optuna/trial_0011/checkpoints/best.ckpt,7.0,COMPLETE
12,0.16271373629570007,2026-03-30 10:44:27.532538,2026-03-30 10:52:01.282843,0 days 00:07:33.750305,mish,2.4,0.056369784146176105,192,5,0.0026162927667906393,batch_all_triplet,,0.2536121768812083,64,0.5898689840831359,128,4,2,4,29.498528572413093,8.20152520181467,6.672041516712813e-06,/home/svane/projects/tempo/runs/rnnt_search_v3/optuna/trial_0012/checkpoints/best.ckpt,7.0,COMPLETE
13,0.06229933723807335,2026-03-30 10:52:01.283071,2026-03-30 10:57:42.033469,0 days 00:05:40.750398,mish,2.4,0.11626281060168818,192,3,0.0008136151980161061,batch_all_triplet,,0.10123633887000288,64,0.41652479568731215,128,4,2,4,29.82659555182947,8.191766474858694,1.007899015222529e-06,/home/svane/projects/tempo/runs/rnnt_search_v3/optuna/trial_0013/checkpoints/best.ckpt,6.0,COMPLETE
14,0.06567157059907913,2026-03-30 10:57:42.033648,2026-03-30 11:03:17.114833,0 days 00:05:35.081185,gelu,2.4,0.1732220320886069,192,3,0.0006816264072637384,batch_all_triplet,,0.10336843450406738,64,0.40217627205294726,96,4,2,4,28.951263851406086,8.742343615610979,0.00025014707401602144,/home/svane/projects/tempo/runs/rnnt_search_v3/optuna/trial_0014/checkpoints/best.ckpt,6.0,COMPLETE
15,0.11099044233560562,2026-03-30 11:03:17.115176,2026-03-30 11:06:23.666941,0 days 00:03:06.551765,mish,2.4,0.17599229480848666,192,3,0.0005219904658704958,batch_hard_triplet,,0.11005561248442344,64,0.41109648494234424,96,4,4,4,23.469014260996563,9.036328935912982,0.00027643723370356646,/home/svane/projects/tempo/runs/rnnt_search_v3/optuna/trial_0015/checkpoints/best.ckpt,10.0,COMPLETE
16,0.06541761010885239,2026-03-30 11:06:23.667116,2026-03-30 11:13:20.598930,0 days 00:06:56.931814,gelu,2.4,0.21606268505446827,192,3,0.0006424867133685577,batch_all_triplet,,0.10136232158213564,64,0.6361297311831218,128,5,2,4,18.200710129382827,6.937959415988179,0.00029450138024819265,/home/svane/projects/tempo/runs/rnnt_search_v3/optuna/trial_0016/checkpoints/best.ckpt,6.0,COMPLETE
17,0.11311066150665283,2026-03-30 11:13:20.599112,2026-03-30 11:17:27.538544,0 days 00:04:06.939432,gelu,2.4,0.2315607910838424,192,3,0.0002859074135044854,batch_all_triplet,,0.15586874928196984,64,0.6485101042148131,128,5,2,3,18.002482008378173,6.916906375023208,1.1580183905656006e-05,/home/svane/projects/tempo/runs/rnnt_search_v3/optuna/trial_0017/checkpoints/best.ckpt,2.0,COMPLETE
18,2.259600877761841,2026-03-30 11:17:27.538758,2026-03-30 11:18:16.868541,0 days 00:00:49.329783,mish,2.4,0.19569025043538024,128,3,0.00023093667769940563,supervised_contrastive,0.19095207868092912,0.26723283358651284,80,0.6831967342022955,128,5,4,4,21.85159040244192,6.392845707888368,0.00086919240361333,,,PRUNED
19,0.3013107478618622,2026-03-30 11:18:16.868979,2026-03-30 11:22:42.408753,0 days 00:04:25.539774,relu,2.4,0.1154623185865729,192,3,0.00011083547167601992,batch_hard_triplet,,0.298784268797486,64,0.5228085671545489,128,5,1,4,18.28142919097229,4.882055221548249,0.00018017295029210587,,,PRUNED
